Flag - Loan,Flag - Credit Pull,Flag - App Started,Flag  - App Complete,state,LIEN1FINANCELOANAMOUNT,Adjusted Gross Income,A - Educational Expenses,A - Real Estate Taxes,A - Home Mortgage Interest,A Invest Interest,A - Child Tax Credit,A - EIC,A - Tax Liability
1,1,1,1,TN,195845.466666667,124016.388888889,14.911111111,921.588888889,2469.088888889,34.133333333,490.133333333,1315.555555556,14817.377777778
0,1,1,1,LA,197033.909090909,80891.666666667,12.484848485,542.515151515,1961.136363636,21.909090909,295.878787879,1188.696969697,9055.257575758
1,1,1,1,TX,213487.673469388,240463.394557823,35.673469388,5683.741496599,6189.605442177,63.115646259,875.700680272,1781.632653061,32115.493197279
1,1,1,1,OH,208324.571428571,143496.178571429,14.083333333,2489.285714286,3173.357142857,24.690476190,477.333333333,989.690476190,17389.202380952
1,1,1,1,CT,199553,52741.833333333,6.666666667,2190.333333333,1643.333333333,12.833333333,54.333333333,37.166666667,8975.333333333
0,1,1,0,MD,276533.916666667,189971.013888889,18.645833333,4361.055555556,9723.152777778,63.868055556,492.006944444,987.006944444,22262.909722222
0,1,1,0,DE,231915.818181818,163850.424242424,19.212121212,1992.772727273,6342.666666667,25.045454545,567.469696970,1158.030303030,18545.378787879
0,0,0,0,CA,15870008.9065041,180223.840733945,12.750764526,3911.140550459,7093.870764526,200.680305810,424.227155963,990.448012232,27247.909908257
1,1,1,1,SC,198974.428571429,147092,15.928571429,1675.880952381,4634.261904762,122.047619048,522.833333333,1250.785714286,18509.857142857
0,0,1,0,FL,219132.111111111,131279.861111111,12.574074074,1611.833333333,3111.129629630,64.777777778,418.231481481,2162.685185185,15475.916666667
0,1,1,0,VA,277771.166666667,154880.333333333,13.583333333,3578.888888889,8367.055555556,9.916666667,507.5,1057.888888889,18583.25
0,0,1,0,PA,228500,133569.166666667,14.5,2177.333333333,4257,3.833333333,398.833333333,1012.166666667,14465.166666667
0,1,1,1,AZ,238537.25,126129.236111111,11.909722222,1308.618055556,3827.243055556,74.111111111,466.076388889,1416.277777778,14363.145833333
0,1,1,1,CT,265862,127515.458333333,13.958333333,4576.625,4015.75,123.666666667,199.041666667,249.333333333,20490.666666667
1,1,1,1,AR,183358.25,168118.208333333,10.402777778,1168.694444444,2765.277777778,125.208333333,301.277777778,637.430555556,27404.888888889
0,0,1,0,TX,198065.193548387,209661.833333333,29.209677419,5077.037634409,5310.822580645,39.424731183,739.360215054,1269.801075269,27708.526881720
0,0,0,0,MI,12810618.7687723,75999.260023585,6.078223270,1353.550117925,1688.008254717,44.688679245,202.146226415,445.121265723,10927.902712264
0,0,1,0,OH,237707,148863.466666667,12.366666667,3027.133333333,3563.866666667,62.1,396.8,774.633333333,21374.966666667
0,0,0,0,NH,7708892.54471545,39133.662213740,3.652035623,1182.135496183,1051.145038168,16.643765903,88.059796438,118.181297710,5763.627862595
0,0,0,0,VA,16556416.2682081,75120.340277778,6.384572072,1358.840465465,2888.870683183,43.518393393,175.338400901,360.841779279,10953.028340841
0,0,1,0,CT,200636.666666667,129360.666666667,14.722222222,4016,3600.611111111,16.722222222,347.888888889,810.722222222,16307.833333333
0,1,1,0,WI,248836.2,136129.7,10.133333333,2739.266666667,2775.133333333,67.733333333,375.1,528.866666667,20442.4
0,1,1,1,AL,156439.5,109030.5,13.125,545.916666667,2851.375,73.375,334.208333333,1275.708333333,14215.25
1,1,1,1,NM,200585.941176471,169518.960784314,23.068627451,2224.656862745,6058.450980392,61.333333333,681.039215686,1253.509803922,19258.431372549
0,0,1,0,SC,227129,142161.2,13.3,1375.866666667,3809.7,59.666666667,397.866666667,874.066666667,19216.166666667
0,1,1,0,AL,164948,82229.055555556,12.055555556,334.388888889,2254.833333333,6.833333333,344.111111111,1197.777777778,8273.388888889
0,1,1,1,WI,216411.181818182,109320.803030303,9.484848485,2525.121212121,2970.924242424,29.712121212,331.212121212,407.257575758,14604.166666667
0,1,1,0,ME,188630,40137.583333333,4.541666667,646,851.708333333,2.291666667,136.541666667,449.75,4244.666666667
0,1,1,0,MT,205838,43891,3.666666667,652.833333333,1609.166666667,36.333333333,153.5,278.5,4786.833333333
0,1,1,1,AR,170359.833333333,102805.5,14.444444444,768.111111111,2467.694444444,28.472222222,425.555555556,997.972222222,12335.916666667
1,1,1,1,PA,180872.8,121600.233333333,8.766666667,2374.333333333,2467.333333333,28.266666667,243.3,359.5,19686.066666667
1,1,1,1,ME,226064.166666667,45129.583333333,4.666666667,1004.583333333,1449.694444444,4.611111111,134,140.666666667,5969.444444444
1,1,1,1,AL,185987,79938.833333333,12.666666667,328.333333333,2129.833333333,4.333333333,275.916666667,1926.75,8495.083333333
0,0,0,0,MT,10155927.1521739,32329.329836830,2.766899767,472.637529138,965.136363636,17.858974359,105.775058275,182.363636364,4019.017715618
0,0,1,0,AR,224569.5,231981.333333333,24.583333333,2203.083333333,5834.583333333,139.25,657.166666667,1341.75,35828.416666667
0,1,1,1,TN,242180.294117647,143074.911764706,12.803921569,1526.911764706,3532.901960784,44.441176471,413.186274510,767.921568627,21470.049019608
0,1,1,0,NM,227854,177693.314814815,22.481481481,2132.203703704,5125.888888889,71.259259259,726.962962963,2012.833333333,19575.425925926
0,0,0,0,AL,5129404.32911392,50720.494322790,5.035279805,336.137469586,1285.055150041,33.957420925,158.033657745,522.331711273,6681.890510949
0,0,0,0,ME,3687762.40751445,25204.117464539,2.638741135,508.938829787,641.350620567,4.734485816,74.048315603,140.893173759,3099.746010638
1,1,1,1,LA,201907.428571429,165033.476190476,21.142857143,1228.595238095,4761.738095238,45.309523810,578.952380952,1726.142857143,19633.928571429
0,0,0,0,PA,2547824.07880221,76930.203178356,7.170869451,1685.681901760,1883.037693722,35.804964539,190.654189651,379.990543735,11051.783687943
1,1,1,1,WI,204740,97499.819444444,9.875,1861.722222222,2071.611111111,21.930555556,419.625,817.277777778,10627.180555556
0,1,1,1,OH,194176.8,219585.666666667,21.516666667,3868.716666667,5041.016666667,48.283333333,640.7,952.966666667,29491.1
0,0,1,0,NM,294750,108222.916666667,14,1008.083333333,3684.25,47.75,456.166666667,1043.916666667,12143.333333333
0,1,1,1,IA,191650,109455.6,13.166666667,2249.933333333,2483.833333333,74.633333333,368.266666667,487.7,13670.266666667
0,1,1,0,AR,192449.5,105208.75,14.666666667,914,2624.416666667,49.5,356.333333333,763,13184.166666667
0,1,1,1,SC,230481.428571429,193106.821428571,16.547619048,2334.619047619,6158.916666667,177.202380952,493.619047619,846.083333333,27317.988095238
0,0,1,0,AL,173794,232023.666666667,34.666666667,1435.5,6608,45,830.833333333,1586.666666667,29206.833333333
0,1,1,1,CA,309935.958333333,226655.565972222,18.590277778,4956.434027778,10177.086805556,69.236111111,710.378472222,1530.28125,27952.899305556
0,0,0,0,AR,6776129.50297619,40753.286778399,4.167597765,279.844040968,764.870577281,19.883147114,136.582867784,414.747206704,5227.690875233
0,1,1,0,SC,163735.25,209069.541666667,31.458333333,2297.666666667,7423.458333333,44.25,832.833333333,1376.458333333,25117.458333333
0,1,1,1,MT,221834.2,101173.566666667,9.433333333,1549.8,2965,53.033333333,327.533333333,465.033333333,13009.233333333
0,1,1,0,LA,160868.666666667,76168.833333333,12.388888889,347.527777778,1955.611111111,6.972222222,326.027777778,982.944444444,7111.277777778
0,0,1,0,WI,269111.5,103277.75,10.916666667,2166.125,2364.875,40.333333333,349.791666667,1030.666666667,14006.291666667
0,1,1,0,OH,199603.333333333,168715,22.5,3747.666666667,3829,88.444444444,548.833333333,831.333333333,20378.277777778
0,0,0,0,WI,10221447.4868074,57681.604545455,5.017965368,1292.706926407,1331.193290043,24.585497835,172.046969697,257.512987013,7790.804978355
